file,ticker,date,direction,confidence,horizon,fwd_return_pct,band_pct,band_scaled,null_p,correct,correct_legacy
PG_2026-07-25_1423.md,PG,2026-07-25,no-edge,3,21d,,2.29,True,0.3875,,
PG_2026-08-03_2355.md,PG,2026-08-03,no-edge,3,5d,,1.26,True,0.37044534412955465,,
PG_2026-08-03_2355.md,PG,2026-08-03,no-edge,3,21d,,2.29,True,0.3912133891213389,,
PLTR_2026-07-21_1417.md,PLTR,2026-07-21,no-edge,3,5d,-6.88,4.65,True,0.4505050505050505,False,False
PLTR_2026-07-21_1417.md,PLTR,2026-07-21,no-edge,3,21d,,9.55,True,0.4112734864300626,,
PLTR_2026-07-23_0114.md,PLTR,2026-07-23,no-edge,3,5d,-0.9,4.65,True,0.45161290322580644,True,True
PLTR_2026-07-23_0114.md,PLTR,2026-07-23,no-edge,3,21d,,9.54,True,0.41458333333333336,,
PLTR_2026-07-25_1427.md,PLTR,2026-07-25,no-edge,3,5d,-4.51,4.65,True,0.4495967741935484,True,False
PLTR_2026-07-25_1427.md,PLTR,2026-07-25,no-edge,3,21d,,9.54,True,0.41875,,
PLTR_2026-08-03_2358.md,PLTR,2026-08-03,no-edge,3,5d,,4.63,True,0.451417004048583,,
PLTR_2026-08-03_2358.md,PLTR,2026-08-03,no-edge,3,21d,,9.55,True,0.42887029288702927,,
XOM_2026-07-21_1413.md,XOM,2026-07-21,long,5,5d,0.88,1.75,True,0.37373737373737376,False,True
XOM_2026-07-21_1413.md,XOM,2026-07-21,long,5,21d,,3.3,True,0.35490605427974947,,
XOM_2026-07-23_0111.md,XOM,2026-07-23,long,5,5d,0.05,1.76,True,0.375,False,False
XOM_2026-07-23_0111.md,XOM,2026-07-23,long,5,21d,,3.32,True,0.35833333333333334,,
XOM_2026-07-25_1424.md,XOM,2026-07-25,no-edge,5,5d,-0.2,1.77,True,0.3548387096774194,True,True
XOM_2026-07-25_1424.md,XOM,2026-07-25,no-edge,5,21d,,3.34,True,0.40625,,
XOM_2026-08-03_2355.md,XOM,2026-08-03,no-edge,5,5d,,1.77,True,0.354251012145749,,
XOM_2026-08-03_2355.md,XOM,2026-08-03,no-edge,5,21d,,3.4,True,0.401673640167364,,
